 TIME (ms)      DELTA_TEMP (K) AVG_TEMP (K)   
  2.0036788E+10  1.9410000E+00  1.8403998E+02 
  2.0040270E+10  1.9410000E+00  1.8401999E+02 
  2.0043751E+10  1.9410000E+00  1.8400000E+02 
  2.0047659E+10  1.9410000E+00  1.8400000E+02 
  2.0051141E+10  1.9410000E+00  1.8396997E+02 
  2.0054729E+10  1.9410000E+00  1.8396997E+02 
  2.0058198E+10  1.9410000E+00  1.8394998E+02 
  2.0061680E+10  1.9410000E+00  1.8392999E+02 
  2.0065161E+10  1.9410000E+00  1.8392999E+02 
  2.0066898E+10  1.9410000E+00  1.8392999E+02 
  2.0070359E+10  1.9410000E+00  1.8390997E+02 
  2.0073808E+10  1.9410000E+00  1.8390997E+02 
  2.0077269E+10  1.9410000E+00  1.8392999E+02 
  2.0080730E+10  1.9410000E+00  1.8390997E+02 
  2.0084179E+10  1.9410000E+00  1.8390997E+02 
  2.0087640E+10  1.9410000E+00  1.8392999E+02 
  2.0091101E+10  1.9410000E+00  1.8388998E+02 
  2.0094558E+10  1.9410000E+00  1.8388998E+02 
  2.0094988E+10  1.9410000E+00  1.8388998E+02 
  2.0095590E+10  1.9410000E+00  1.8385999E+02 
  2.0099068E+10  1.9410000E+00  1.8385999E+02 
  2.0102550E+10  1.9410000E+00  1.8385999E+02 
  2.0106019E+10  1.9410000E+00  1.8385999E+02 
  2.0109500E+10  1.9410000E+00  1.8384000E+02 
  2.0112978E+10  1.9410000E+00  1.8384000E+02 
  2.0116460E+10  1.9410000E+00  1.8384000E+02 
  2.0119929E+10  1.9410000E+00  1.8384000E+02 
  2.0123410E+10  1.9410000E+00  1.8381998E+02 
  2.0124709E+10  1.9410000E+00  1.8381998E+02 
  2.0128190E+10  1.9410000E+00  1.8384000E+02 
  2.0131668E+10  1.9410000E+00  1.8381998E+02 
  2.0135150E+10  1.9410000E+00  1.8379999E+02 
  2.0139061E+10  1.9410000E+00  1.8379999E+02 
  2.0142539E+10  1.9410000E+00  1.8379999E+02 
  2.0146020E+10  1.9410000E+00  1.8381998E+02 
  2.0149498E+10  1.9410000E+00  1.8378000E+02 
  2.0152971E+10  1.9410000E+00  1.8378000E+02 
  2.0156449E+10  1.9410000E+00  1.8378000E+02 
  2.0158190E+10  1.9410000E+00  1.8378000E+02 
  2.0161659E+10  1.9410000E+00  1.8378000E+02 
  2.0165140E+10  1.9410000E+00  1.8375998E+02 
  2.0168618E+10  1.9410000E+00  1.8375998E+02 
  2.0172100E+10  1.9410000E+00  1.8375998E+02 
  2.0175581E+10  1.9410000E+00  1.8372998E+02 
  2.0179059E+10  1.9410000E+00  1.8372998E+02 
  2.0180791E+10  1.9410000E+00  1.8372998E+02 
  2.0184699E+10  1.9410000E+00  1.8372998E+02 
  2.0186448E+10  1.9410000E+00  1.8370999E+02 
  2.0186878E+10  1.9410000E+00  1.8370999E+02 
  2.0190360E+10  1.9410000E+00  1.8370999E+02 
  2.0193829E+10  1.9410000E+00  1.8370999E+02 
  2.0197310E+10  1.9410000E+00  1.8368997E+02 
  2.0199051E+10  1.9410000E+00  1.8370999E+02 
  2.0199920E+10  1.9410000E+00  1.8370999E+02 
  2.0203401E+10  1.9410000E+00  1.8366998E+02 
  2.0206879E+10  1.9410000E+00  1.8370999E+02 
  2.0210348E+10  1.9410000E+00  1.8366998E+02 
  2.0213830E+10  1.9410000E+00  1.8366998E+02 
  2.0217311E+10  1.9410000E+00  1.8364999E+02 
  2.0220789E+10  1.9410000E+00  1.8366998E+02 
  2.0222091E+10  1.9410000E+00  1.8366998E+02 
  2.0228018E+10  1.9410000E+00  1.8366998E+02 
  2.0231487E+10  1.9410000E+00  1.8364999E+02 
  2.0234969E+10  1.9410000E+00  1.8362000E+02 
  2.0238451E+10  1.9410000E+00  1.8362000E+02 
  2.0241928E+10  1.9410000E+00  1.8362000E+02 
  2.0245398E+10  1.9410000E+00  1.8362000E+02 
  2.0246708E+10  1.9410000E+00  1.8362000E+02 
  2.0247581E+10  1.9410000E+00  1.8362000E+02 
  2.0251058E+10  1.9410000E+00  1.8359998E+02 
  2.0254527E+10  1.9410000E+00  1.8359998E+02 
  2.0258009E+10  1.9410000E+00  1.8357999E+02 
  2.0261491E+10  1.9410000E+00  1.8357999E+02 
  2.0264968E+10  1.9410000E+00  1.8357999E+02 
  2.0268438E+10  1.9410000E+00  1.8357999E+02 
  2.0271919E+10  1.9410000E+00  1.8357999E+02 
  2.0275401E+10  1.9410000E+00  1.8357999E+02 
  2.0278878E+10  1.9410000E+00  1.8357999E+02 
  2.0282348E+10  1.9410000E+00  1.8356000E+02 
  2.0285399E+10  1.9410000E+00  1.8356000E+02 
  2.0285829E+10  1.9410000E+00  1.8356000E+02 
