time                     TG21A    TG21B  TG21avg   DTH21   DTL21 
1975-093T10:33:20.442  289.933  261.389  275.661   2.834  28.545 
1975-093T10:40:35.141  289.717  261.190  275.453   2.832  28.528 
1975-093T10:47:49.838  289.499  260.993  275.246   2.829  28.506 
1975-093T10:55:04.536  289.330  260.836  275.083   2.827  28.495 
1975-093T11:02:19.233  289.069  260.597  274.833   2.825  28.473 
1975-093T11:09:33.930  288.728  260.288  274.508   2.821  28.440 
1975-093T11:16:48.629  288.389  259.977  274.183   2.817  28.412 
1975-093T11:24:03.326  287.865  259.507  273.686   2.812  28.359 
1975-093T11:31:18.023  287.162  258.858  273.010   2.804  28.303 
1975-093T11:38:32.722  286.322  258.094  272.208   2.796  28.228 
1975-093T11:45:47.419  285.277  257.141  271.209   2.785  28.136 
1975-093T11:53:02.118  283.888  255.874  269.881   2.770  28.013 
1975-093T12:00:16.815  282.278  254.413  268.345   2.754  27.866 
1975-093T12:07:31.514  280.429  252.730  266.579   2.734  27.698 
1975-093T12:14:46.211  277.005  252.237  264.621   2.713  24.768 
1975-093T12:22:00.910  272.863  252.254  262.559   2.692  20.609 
1975-093T12:29:15.608  268.401  252.195  260.298   2.668  16.207 
1975-093T12:36:30.307  263.849  252.219  258.034   2.644  11.630 
1975-093T12:43:45.004  259.117  252.148  255.633   2.619   6.969 
1975-093T12:50:59.703  254.452  252.163  253.307   2.594   2.289 
1975-093T12:58:14.396  250.383  251.582  250.982  -1.199  -2.364 
1975-093T13:05:29.095  245.272  252.190  248.731  -2.593  -6.917 
1975-093T13:12:43.792  240.871  252.205  246.538  -2.574 -11.333 
1975-093T13:19:58.171  236.633  252.219  244.426  -2.555 -15.586 
1975-093T13:27:13.186  232.618  252.265  242.442  -2.539 -19.647 
1975-093T13:34:27.885  228.755  252.261  240.508  -2.521 -23.507 
1975-093T13:41:42.582  226.152  251.203  238.678  -2.506 -25.051 
1975-093T13:48:57.279  224.576  249.461  237.019  -2.491 -24.885 
1975-093T13:56:11.978  223.021  247.739  235.380  -2.477 -24.718 
1975-093T14:03:26.675  221.507  246.078  233.793  -2.463 -24.572 
1975-093T14:10:41.374  220.129  244.560  232.345  -2.451 -24.432 
1975-093T14:17:56.072  218.794  243.091  230.943  -2.438 -24.297 
1975-093T14:25:10.769  217.559  241.727  229.643  -2.427 -24.168 
1975-093T14:32:25.468  216.421  240.459  228.440  -2.416 -24.037 
1975-093T14:39:40.167  215.313  239.243  227.278  -2.406 -23.929 
1975-093T14:46:54.864  214.163  237.984  226.074  -2.395 -23.822 
1975-093T14:54:09.563  213.133  236.849  224.991  -2.386 -23.716 
1975-093T15:01:24.262  212.167  235.783  223.975  -2.377 -23.615 
1975-093T15:08:38.961  211.262  234.777  223.019  -2.369 -23.516 
1975-093T15:15:53.658  210.362  233.785  222.074  -2.361 -23.424 
1975-093T15:23:08.358  209.549  232.885  221.217  -2.353 -23.336 
1975-093T15:30:23.067  208.767  232.020  220.394  -2.345 -23.253 
1975-093T15:37:37.766  208.039  231.220  219.630  -2.339 -23.181 
1975-093T15:44:52.464  207.290  230.399  218.845  -2.332 -23.109 
1975-093T15:52:07.163  206.677  229.718  218.198  -2.326 -23.041 
1975-093T15:59:21.862  206.069  229.043  217.556  -2.321 -22.974 
1975-093T16:06:36.561  205.510  228.428  216.969  -2.315 -22.918 
1975-093T16:13:51.260  204.954  227.815  216.384  -2.310 -22.861 
1975-093T16:21:05.959  204.450  227.262  215.856  -2.306 -22.812 
1975-093T16:28:20.658  203.977  226.737  215.357  -2.301 -22.760 
1975-093T16:35:35.358  203.527  226.242  214.885  -2.297 -22.715 
1975-093T16:42:50.057  203.105  225.778  214.442  -2.293 -22.674 
1975-093T16:50:04.756  202.709  225.341  214.025  -2.289 -22.632 
1975-093T16:57:19.455  202.315  224.906  213.610  -2.286 -22.591 
1975-093T17:04:34.156  201.944  224.501  213.223  -2.282 -22.557 
1975-093T17:11:48.855  201.627  224.150  212.888  -2.279 -22.523 
1975-093T17:19:03.555  201.261  223.746  212.503  -2.276 -22.485 
1975-093T17:26:18.254  200.968  223.423  212.196  -2.273 -22.455 
1975-093T17:33:32.955  200.677  223.101  211.889  -2.270 -22.425 
1975-093T17:40:47.654  200.386  222.781  211.583  -2.268 -22.394 
1975-093T17:48:02.355  200.121  222.485  211.303  -2.265 -22.364 
1975-093T17:55:17.055  199.831  222.168  211.000  -2.262 -22.337 
1975-093T18:02:31.756  199.563  221.880  210.721  -2.260 -22.316 
1975-093T18:09:46.455  199.375  221.663  210.519  -2.258 -22.287 
1975-093T18:17:01.157  199.134  221.401  210.267  -2.256 -22.267 
1975-093T18:24:15.857  198.871  221.111  209.991  -2.253 -22.240 
1975-093T18:31:30.558  198.656  220.873  209.765  -2.251 -22.217 
1975-093T18:38:45.259  198.391  220.588  209.490  -2.249 -22.197 
1975-093T18:45:59.961  198.204  220.375  209.290  -2.247 -22.171 
1975-093T18:53:14.663  198.016  220.164  209.090  -2.245 -22.148 
1975-093T19:00:29.365  197.753  219.880  208.817  -2.243 -22.128 
1975-093T19:07:44.066  197.589  219.697  208.643  -2.241 -22.108 
1975-093T19:14:58.767  197.375  219.464  208.420  -2.239 -22.088 
1975-093T19:22:13.470  197.212  219.280  208.246  -2.238 -22.069 
1975-093T19:29:28.172  196.950  218.999  207.974  -2.235 -22.049 
1975-093T19:36:42.864  196.763  218.792  207.777  -2.233 -22.029 
1975-093T19:43:57.576  196.626  218.633  207.629  -2.232 -22.007 
1975-093T19:51:12.270  196.390  218.377  207.384  -2.230 -21.987 
